# CRT Name   BPName   Trans.Name   BP Length (m)
# DDL 0
CR15-3-30   CH8-L8-IB2  814-T4    7.5
CR15-4-31   CH8-L9-IT   815-T0    7.5
CR15-4-32   CH8-L9-OT   815-T1    2.5
CR15-4-33   CH8-L9-OB   815-T2    3.0
CR15-4-34   CH8-L9-IB   815-T3    7.0
CR15-4-35   CH8-L10-IB  816-T0    6.5
CR15-4-36   CH8-L10-OB  816-T1    3.0
CR15-4-37   CH8-L10-OT  816-T2    2.5
CR15-4-38   CH8-L10-IT  816-T3    7.0
CR15-4-39   CH8-L11-IT  817-T0    7.0
CR15-4-40   CH8-L11-OT  817-T1    4.5
CR15-5-41   CH8-L11-OB  817-T2    4.0
CR15-5-42   CH8-L11-IB  817-T3    6.5
CR15-5-43   CH8-L12-OB  818-T0    4.5
CR15-5-44   CH8-L12-OT  818-T1    5.0
CR15-5-45   CH8-L13-OT  819-T0    5.5
CR15-5-46   CH8-L13-OB  819-T1    5.0
# DDL 15
CR16-1-1    CH8-R1-OT   806-T0    5.5
CR16-1-2    CH8-R1-OB   806-T1    6.5
CR16-1-3    CH8-R2-OB   805-T0    5.5
CR16-1-4    CH8-R2-OT   805-T1    5.0
CR16-1-5    CH8-R3-IT   804-T0    7.0
CR16-1-6    CH8-R3-OT   804-T1    4.5
CR16-1-7    CH8-R3-OB   804-T2    5.0
CR16-1-8    CH8-R3-IB   804-T3    7.5
CR16-1-9    CH8-R4-IB   803-T0    7.5
CR16-1-10   CH8-R4-OB   803-T1    3.0
CR16-2-11   CH8-R4-OT   803-T2    4.0
CR16-2-12   CH8-R4-IT   803-T3    7.0
CR16-2-13   CH8-R5-IT   802-T0    7.5
CR16-2-14   CH8-R5-OT   802-T1    4.0
CR16-2-15   CH8-R5-OB   802-T2    3.0
CR16-2-16   CH8-R5-IB   802-T3    8.5
CR16-2-17   CH8-R6-IB   801-T0    8.5
CR16-2-18   CH8-R6-OB   801-T1    2.5
CR16-2-19   CH8-R6-OT   801-T2    2.5
CR16-2-20   CH8-R6-IT1  801-T3    8.5
CR16-3-21   CH8-R6-IT2  801-T4    8.5
CR16-3-22   CH8-R7-IT   800-T0    8.5
CR16-3-23   CH8-R7-OT   800-T1    2.5
CR16-3-24   CH8-R7-OB   800-T2    2.5
CR16-3-25   CH8-R7-IB   800-T3    8.5
CR16-3-26   CH8-R8-IT   825-T0    8.5
CR16-3-27   CH8-R8-OT   825-T1    2.5
CR16-3-28   CH8-R8-OB   825-T2    2.5
CR16-3-29   CH8-R8-IB1  825-T3    7.5
CR16-3-30   CH8-R8-IB2  825-T4    7.5
CR16-4-31   CH8-R9-IT   824-T0    7.5
CR16-4-32   CH8-R9-OT   824-T1    2.5
CR16-4-33   CH8-R9-OB   824-T2    3.0
CR16-4-34   CH8-R9-IB   824-T3    7.0
CR16-4-35   CH8-R10-IB  823-T0    6.5
CR16-4-36   CH8-R10-OB  823-T1    3.0
CR16-4-37   CH8-R10-OT  823-T2    2.5
CR16-4-38   CH8-R10-IT  823-T3    7.0
CR16-4-39   CH8-R11-IT  822-T0    7.0
CR16-4-40   CH8-R11-OT  822-T1    4.5
CR16-5-41   CH8-R11-OB  822-T2    4.0
CR16-5-42   CH8-R11-IB  822-T3    6.5
CR16-5-43   CH8-R12-OB  821-T0    4.5
CR16-5-44   CH8-R12-OT  821-T1    5.0
CR16-5-45   CH8-R13-OT  820-T0    5.5
CR16-5-46   CH8-R13-OB  820-T1    5.0
# DDL 16
CR17-1-1    CH9-L1-OT   907-T0    5.0
CR17-1-2    CH9-L1-OB   907-T1    5.5
CR17-1-3    CH9-L2-IB   908-T0    7.0
CR17-1-4    CH9-L2-OB   908-T1    5.0
CR17-1-5    CH9-L2-OT   908-T2    4.0
CR17-1-6    CH9-L2-IT   908-T3    6.5
CR17-1-7    CH9-L3-IT   909-T0    7.0
CR17-1-8    CH9-L3-OT   909-T1    4.0
CR17-1-9    CH9-L3-OB   909-T2    4.5
CR17-1-10   CH9-L3-IB   909-T3    7.5
CR17-2-11   CH9-L4-IB   910-T0    7.5
CR17-2-12   CH9-L4-OB   910-T1    2.5
CR17-2-13   CH9-L4-OT   910-T2    3.0
CR17-2-14   CH9-L4-IT   910-T3    7.0
CR17-2-15   CH9-L5-IT   911-T0    7.5
CR17-2-16   CH9-L5-OT   911-T1    3.0
CR17-2-17   CH9-L5-OB   911-T2    2.5
CR17-2-18   CH9-L5-IB   911-T3    8.5
CR17-2-19   CH9-L6-IB   912-T0    8.5
CR17-2-20   CH9-L6-OB   912-T1    2.5
CR17-3-21   CH9-L6-OT   912-T2    2.5
CR17-3-22   CH9-L6-IT1  912-T3    8.5
CR17-3-23   CH9-L6-IT2  912-T4    8.5
CR17-3-24   CH9-L7-IT   913-T0    8.5
CR17-3-25   CH9-L7-OT   913-T1    2.5
CR17-3-26   CH9-L7-OB   913-T2    2.5
CR17-3-27   CH9-L7-IB   913-T3    8.5
CR17-3-28   CH9-L8-IT   914-T0    8.5
CR17-3-29   CH9-L8-OT   914-T1    2.5
CR17-3-30   CH9-L8-OB   914-T2    2.5
CR17-4-31   CH9-L8-IB1  914-T3    7.5
CR17-4-32   CH9-L8-IB2  914-T4    7.5
CR17-4-33   CH9-L9-IT   915-T0    8.5
CR17-4-34   CH9-L9-OT   915-T1    2.5
CR17-4-35   CH9-L9-OB   915-T2    3.0
CR17-4-36   CH9-L9-IB   915-T3    7.5
CR17-4-37   CH9-L10-IB  916-T0    7.0
CR17-4-38   CH9-L10-OB  916-T1    3.0
CR17-4-39   CH9-L10-OT  916-T2    2.5
CR17-4-40   CH9-L10-IT  916-T3    7.5
CR17-5-41   CH9-L11-IT  917-T0    7.5
CR17-5-42   CH9-L11-OT  917-T1    4.5
CR17-5-43   CH9-L11-OB  917-T2    4.0
CR17-5-44   CH9-L11-IB  917-T3    6.5
CR17-5-45   CH9-L12-IB  918-T0    6.5
CR17-5-46   CH9-L12-OB  918-T1    4.0
CR17-5-47   CH9-L12-OT  918-T2    5.0
CR17-5-48   CH9-L12-IT  918-T3    7.0
CR17-5-49   CH9-L13-OT  919-T0    5.5
CR17-5-50   CH9-L13-OB  919-T1    5.0
# DDL 17
CR18-1-1    CH9-R1-OT   906-T0    5.0
CR18-1-2    CH9-R1-OB   906-T1    5.5
CR18-1-3    CH9-R2-IB   905-T0    7.0
CR18-1-4    CH9-R2-OB   905-T1    5.0
CR18-1-5    CH9-R2-OT   905-T2    4.0
CR18-1-6    CH9-R2-IT   905-T3    6.5
CR18-1-7    CH9-R3-IT   904-T0    7.0
CR18-1-8    CH9-R3-OT   904-T1    4.0
CR18-1-9    CH9-R3-OB   904-T2    4.5
CR18-1-10   CH9-R3-IB   904-T3    7.5
CR18-2-11   CH9-R4-IB   903-T0    7.5
CR18-2-12   CH9-R4-OB   903-T1    2.5
CR18-2-13   CH9-R4-OT   903-T2    3.0
CR18-2-14   CH9-R4-IT   903-T3    7.0
CR18-2-15   CH9-R5-IT   902-T0    7.5
CR18-2-16   CH9-R5-OT   902-T1    3.0
CR18-2-17   CH9-R5-OB   902-T2    2.5
CR18-2-18   CH9-R5-IB   902-T3    8.5
CR18-2-19   CH9-R6-IB   901-T0    8.5
CR18-2-20   CH9-R6-OB   901-T1    2.5
CR18-3-21   CH9-R6-OT   901-T2    2.5
CR18-3-22   CH9-R6-IT1  901-T3    8.5
CR18-3-23   CH9-R6-IT2  901-T4    8.5
CR18-3-24   CH9-R7-IT   900-T0    8.5
CR18-3-25   CH9-R7-OT   900-T1    2.5
CR18-3-26   CH9-R7-OB   900-T2    2.5
CR18-3-27   CH9-R7-IB   900-T3    8.5
CR18-3-28   CH9-R8-IT   925-T0    8.5
CR18-3-29   CH9-R8-OT   925-T1    2.5
CR18-3-30   CH9-R8-OB   925-T2    2.5
CR18-4-31   CH9-R8-IB1  925-T3    7.5
CR18-4-32   CH9-R8-IB2  925-T4    7.5
CR18-4-33   CH9-R9-IT   924-T0    8.5
CR18-4-34   CH9-R9-OT   924-T1    2.5
CR18-4-35   CH9-R9-OB   924-T2    3.0
CR18-4-36   CH9-R9-IB   924-T3    7.5
CR18-4-37   CH9-R10-IB  923-T0    7.0
CR18-4-38   CH9-R10-OB  923-T1    3.0
CR18-4-39   CH9-R10-OT  923-T2    2.5
CR18-4-40   CH9-R10-IT  923-T3    7.5
CR18-5-41   CH9-R11-IT  922-T0    7.5
CR18-5-42   CH9-R11-OT  922-T1    4.5
CR18-5-43   CH9-R11-OB  922-T2    4.0
CR18-5-44   CH9-R11-IB  922-T3    6.5
CR18-5-45   CH9-R12-IB  921-T0    6.5
CR18-5-46   CH9-R12-OB  921-T1    4.0
CR18-5-47   CH9-R12-OT  921-T2    5.0
CR18-5-48   CH9-R12-IT  921-T3    7.0
CR18-5-49   CH9-R13-OT  920-T0    5.5
CR18-5-50   CH9-R13-OB  920-T1    5.0
# DDL 18
CR19-1-1    CH10-L1-OT   1007-T0    5.0
CR19-1-2    CH10-L1-OB   1007-T1    5.5
CR19-1-3    CH10-L2-IB   1008-T0    7.0
CR19-1-4    CH10-L2-OB   1008-T1    5.0
CR19-1-5    CH10-L2-OT   1008-T2    4.0
CR19-1-6    CH10-L2-IT   1008-T3    6.5
CR19-1-7    CH10-L3-IT   1009-T0    7.0
CR19-1-8    CH10-L3-OT   1009-T1    4.0
CR19-1-9    CH10-L3-OB   1009-T2    4.5
CR19-1-10   CH10-L3-IB   1009-T3    7.5
CR19-2-11   CH10-L4-IB   1010-T0    7.5
CR19-2-12   CH10-L4-OB   1010-T1    2.5
CR19-2-13   CH10-L4-OT   1010-T2    3.0
CR19-2-14   CH10-L4-IT   1010-T3    7.0
CR19-2-15   CH10-L5-IT   1011-T0    7.5
CR19-2-16   CH10-L5-OT   1011-T1    3.0
CR19-2-17   CH10-L5-OB   1011-T2    2.5
CR19-2-18   CH10-L5-IB   1011-T3    8.5
CR19-2-19   CH10-L6-IB   1012-T0    8.5
CR19-2-20   CH10-L6-OB   1012-T1    2.5
CR19-3-21   CH10-L6-OT   1012-T2    2.5
CR19-3-22   CH10-L6-IT1  1012-T3    8.5
CR19-3-23   CH10-L6-IT2  1012-T4    8.5
CR19-3-24   CH10-L7-IT   1013-T0    8.5
CR19-3-25   CH10-L7-OT   1013-T1    2.5
CR19-3-26   CH10-L7-OB   1013-T2    2.5
CR19-3-27   CH10-L7-IB   1013-T3    8.5
CR19-3-28   CH10-L8-IT   1014-T0    8.5
CR19-3-29   CH10-L8-OT   1014-T1    2.5
CR19-3-30   CH10-L8-OB   1014-T2    2.5
CR19-4-31   CH10-L8-IB1  1014-T3    7.5
CR19-4-32   CH10-L8-IB2  1014-T4    7.5
CR19-4-33   CH10-L9-IT   1015-T0    8.5
CR19-4-34   CH10-L9-OT   1015-T1    2.5
CR19-4-35   CH10-L9-OB   1015-T2    3.0
CR19-4-36   CH10-L9-IB   1015-T3    7.5
CR19-4-37   CH10-L10-IB  1016-T0    7.0
CR19-4-38   CH10-L10-OB  1016-T1    3.0
CR19-4-39   CH10-L10-OT  1016-T2    2.5
CR19-4-40   CH10-L10-IT  1016-T3    7.5
CR19-5-41   CH10-L11-IT  1017-T0    7.5
CR19-5-42   CH10-L11-OT  1017-T1    4.5
CR19-5-43   CH10-L11-OB  1017-T2    4.0
CR19-5-44   CH10-L11-IB  1017-T3    6.5
CR19-5-45   CH10-L12-IB  1018-T0    6.5
CR19-5-46   CH10-L12-OB  1018-T1    4.0
CR19-5-47   CH10-L12-OT  1018-T2    5.0
CR19-5-48   CH10-L12-IT  1018-T3    7.0
CR19-5-49   CH10-L13-OT  1019-T0    5.5
CR19-5-50   CH10-L13-OB  1019-T1    5.0
# DDL 19
CR20-1-1    CH10-R1-OT   1006-T0    5.0
CR20-1-2    CH10-R1-OB   1006-T1    5.5
CR20-1-3    CH10-R2-IB   1005-T0    7.0
CR20-1-4    CH10-R2-OB   1005-T1    5.0
CR20-1-5    CH10-R2-OT   1005-T2    4.0
CR20-1-6    CH10-R2-IT   1005-T3    6.5
CR20-1-7    CH10-R3-IT   1004-T0    7.0
CR20-1-8    CH10-R3-OT   1004-T1    4.0
CR20-1-9    CH10-R3-OB   1004-T2    4.5
CR20-1-10   CH10-R3-IB   1004-T3    7.5
CR20-2-11   CH10-R4-IB   1003-T0    7.5
CR20-2-12   CH10-R4-OB   1003-T1    2.5
CR20-2-13   CH10-R4-OT   1003-T2    3.0
CR20-2-14   CH10-R4-IT   1003-T3    7.0
CR20-2-15   CH10-R5-IT   1002-T0    7.5
CR20-2-16   CH10-R5-OT   1002-T1    3.0
CR20-2-17   CH10-R5-OB   1002-T2    2.5
CR20-2-18   CH10-R5-IB   1002-T3    8.5
CR20-2-19   CH10-R6-IB   1001-T0    8.5
CR20-2-20   CH10-R6-OB   1001-T1    2.5
CR20-3-21   CH10-R6-OT   1001-T2    2.5
CR20-3-22   CH10-R6-IT1  1001-T3    8.5
CR20-3-23   CH10-R6-IT2  1001-T4    8.5
CR20-3-24   CH10-R7-IT   1000-T0    8.5
CR20-3-25   CH10-R7-OT   1000-T1    2.5
CR20-3-26   CH10-R7-OB   1000-T2    2.5
CR20-3-27   CH10-R7-IB   1000-T3    8.5
CR20-3-28   CH10-R8-IT   1025-T0    8.5
CR20-3-29   CH10-R8-OT   1025-T1    2.5
CR20-3-30   CH10-R8-OB   1025-T2    2.5
CR20-4-31   CH10-R8-IB1  1025-T3    7.5
CR20-4-32   CH10-R8-IB2  1025-T4    7.5
CR20-4-33   CH10-R9-IT   1024-T0    8.5
CR20-4-34   CH10-R9-OT   1024-T1    2.5
CR20-4-35   CH10-R9-OB   1024-T2    3.0
CR20-4-36   CH10-R9-IB   1024-T3    7.5
CR20-4-37   CH10-R10-IB  1023-T0    7.0
CR20-4-38   CH10-R10-OB  1023-T1    3.0
CR20-4-39   CH10-R10-O   1023-T2    2.5
CR20-4-40   CH10-R10-IT  1023-T3    7.5
CR20-5-41   CH10-R11-IT  1022-T0    7.5
CR20-5-42   CH10-R11-OT  1022-T1    4.5
CR20-5-43   CH10-R11-OB  1022-T2    4.0
CR20-5-44   CH10-R11-IB  1022-T3    6.5
CR20-5-45   CH10-R12-IB  1021-T0    6.5
CR20-5-46   CH10-R12-OB  1021-T1    4.0
CR20-5-47   CH10-R12-OT  1021-T2    5.0
CR20-5-48   CH10-R12-IT  1021-T3    7.0
CR20-5-49   CH10-R13-OT  1020-T0    5.5
CR20-5-50   CH10-R13-OB  1020-T1    5.0
